symbol	sample16_48hr_siNeg_1_S227	sample17_48hr_siNeg_2_S228	sample18_48hr_siNeg_3_S229	sample19_48hr_siFli1_1_S230	sample20_48hr_siFli1_2_S231	sample21_48hr_siFli1_3_S232
ENSG00000215182.8|MUC5AC	0	0	0	0	2	0
ENSG00000215183.4|MSMP	0	0	4	0	0	0
ENSG00000215184.2|RP11-8L18.2	0	2	0	0	1	0
ENSG00000215186.6|GOLGA6B	0	0	0	1.55	8.53	8.28
ENSG00000215187.10|FAM166B	0	1	1	2	1	0
ENSG00000215190.9|XXbac-BPG55C20.5	151.43	165.93	142.46	211.11	263.18	228.18
ENSG00000215193.12|PEX26	1128	1276	1096.66	1188	1562	1461
ENSG00000215196.4|AC091878.1	21	26	29	40	64	46
ENSG00000215197.4|RP5-834A16.1	0	0	0	1	0	0
ENSG00000215198.3|RP11-182N22.7	1.05	0	0	0	0	0
ENSG00000215199.3|RP11-392A14.3	0	0	2	1	0	0
ENSG00000215203.2|GRXCR1	0	0	0	0	0	0
ENSG00000215206.5|TRBV24OR9-2	0	0	0	0	0	0
ENSG00000215208.3|RP11-316O1.1	0	0	0	0	0	0
ENSG00000215210.3|RP11-255N24.3	2.49	11.75	5.02	3.49	3.44	4.52
ENSG00000215217.6|C5orf49	2	1	0	3	4	5
ENSG00000215218.3|UBE2QL1	510	650	557	199	263	213
ENSG00000215221.2|RP11-145E5.3	2	1	3	4	3	4
ENSG00000215223.3|RP3-323M4.2	0	0	0	0	0	1
ENSG00000215227.4|RP11-308K19.2	0	0	0	0	0	0
ENSG00000215231.7|CTD-2247C11.3	0	0	0	0	0	0
ENSG00000215236.3|RP11-490C5.1	0	0	0	0	0	0
ENSG00000215237.6|RP11-54D18.2	0	0	0	0	1	1
ENSG00000215241.3|RP11-266K4.9	13	12	13	21	24	27
ENSG00000215244.2|RP11-563J2.2	3	7	6	10	21	12
ENSG00000215246.5|RP11-43F13.3	12	10	17	24	30	39
ENSG00000215251.3|FASTKD5	651	694.78	662	563.05	691.74	710.77
ENSG00000215252.11|GOLGA8B	4879.72	5308.88	4842.67	11697.4	14799.94	12556.09
ENSG00000215256.3|DHRS4-AS1	303	323	255	256	292	271
ENSG00000215262.7|KCNU1	0	0	0	2	1	0
ENSG00000215263.2|AC025750.7	0	0	0	0	0	0
ENSG00000215264.4|RP1-84O15.1	0	0	1	0	0	0
ENSG00000215267.8|RP11-445P17.4	17	8	3	0	5	4
ENSG00000215268.3|LA16c-60G3.8	0	0	1	0	0	0
ENSG00000215269.5|GAGE12G	0	0	0	0	0	0
ENSG00000215270.3|LA16c-60H5.7	4	2	0	0	0	0
ENSG00000215271.7|HOMEZ	179	229	152	294	369	347
ENSG00000215274.5|GAGE10	0	0	0	0	1	0
ENSG00000215277.8|RNF212B	0	2	1	1	0	1
ENSG00000215278.4|RP11-333E5.1	0	0	0	0	0	0
ENSG00000215283.3|RP11-84P7.1	0	0	0	1	0	0
ENSG00000215284.2|RP11-198M15.1	0	1	0	1	0	1
ENSG00000215286.3|RP5-1158E12.2	0	0	0	0	0	0
ENSG00000215288.4|RP11-613H2.1	0	0	0	0	0	0
ENSG00000215296.10|TMCO5B	0	0	0	0	0	0
ENSG00000215297.3|RP11-62E14.2	0	0	0	0	0	0
ENSG00000215301.10|DDX3X	11825.69	12601	11548	11358.16	13608	12464
ENSG00000215302.8|CTD-3092A11.1	38.88	46.17	37.22	25.94	41.55	42.15
ENSG00000215304.3|RP13-395E19.3	1.48	1.23	8.5	3.16	7.78	4.59
ENSG00000215305.9|VPS16	574.18	677.5	542.07	666.68	937.53	832.11
ENSG00000215310.2|RP6-60B16.1	0	0	0	0	0	0
ENSG00000215311.3|AC004941.4	1	0	1	0	0	0
ENSG00000215313.3|RP11-431J24.4	0	0	0	0	0	0
ENSG00000215317.2|AF227510.7	0	0	0	0	0	0
ENSG00000215319.2|RP11-98L4.1	0	0	0	0	1	0
ENSG00000215325.4|CTC-367F4.2	0	1	0	0	0	1
ENSG00000215326.3|GPXP2	0	0	0	0	0	0
ENSG00000215333.3|RP3-474I12.7	0	0	0	0	0	0
ENSG00000215339.3|ZNF705C	0	0	0	0	0	0
ENSG00000215343.7|ZNF705D	0	0	0	0	0	0
ENSG00000215347.3|SLC25A5P1	0	0	0	0	0	1
ENSG00000215349.2|RP11-385E5.1	1	0	2	1	0	0
ENSG00000215351.3|PPIAP	0	0	0	0	0	0
ENSG00000215353.2|C1QBPP	0	0	0	0	0	0
ENSG00000215354.9|FAM90A24P	0	1	2	0	4	2
ENSG00000215356.4|ZNF705B	0	0	0	0	0	0
ENSG00000215357.2|RP11-600P1.1	0	0	0	0	0	0
ENSG00000215365.4|FAM90A22	0	0	0	0	0	0
ENSG00000215367.10|TMED11P	0	0	0	0	0	0
ENSG00000215368.5|RP11-190I17.4	0	0	0	0	0	0
ENSG00000215369.3|RPL37P3	0	0	0	0	0	0
ENSG00000215371.3|DEFB108P2	0	0	0	0	0	0
ENSG00000215372.6|ZNF705G	0	0	0	0	0	0
ENSG00000215373.4|FAM90A5	0	0	0	0	0	0
ENSG00000215374.5|RP11-1195F20.2	10	7.06	9.61	39.62	41.6	37.59
ENSG00000215375.6|MYL5	140	124	151	372	587	533
ENSG00000215378.3|DEFT1P	0	0	0	0	0	0
ENSG00000215380.2|AC090625.1	0	0	0	0	0	0
ENSG00000215381.3|RP5-1057J7.1	0	0	0	0	0	0
ENSG00000215386.12|MIR99AHG	9	9	12	30	33	22
ENSG00000215388.3|ACTGP3	6	10	3	30	18	12
ENSG00000215397.3|SCRT2	0	0	0	0	0	0
ENSG00000215398.11|RP11-754I20.1	3	0	0	0	1	0
ENSG00000215399.2|RP11-397O8.3	0	0	0	0	0	0
ENSG00000215403.1|LL22NC01-81G9.3	0	0	0	0	0	0
ENSG00000215409.4|RP11-748L13.2	0	0	0	0	0	0
ENSG00000215414.4|AC010877.1	9	5	2	4	3.1	3
ENSG00000215417.12|MIR17HG	84	75	87	13	9	6
ENSG00000215418.2|RP11-388D4.1	0	0	0	0	0	0
ENSG00000215421.9|ZNF407	499	520	445	508	700	596
ENSG00000215424.9|MCM3APAS	87	151	88	67	76	61
ENSG00000215440.11|NPEPL1	125	165.78	148.55	381.28	498.5	427.95
ENSG00000215441.3|RP11-535I8.1	0	0	0	0	0	0
ENSG00000215444.2|RP5-827A12.2	0	0	0	0	0	0
ENSG00000215448.3|SRMP1	0	0	0	0	1	0
ENSG00000215450.2|RP5-890O15.3	0	0	0	0	0	0
ENSG00000215452.5|ZNF663P	0	2	2	6.26	0	0
ENSG00000215454.6|KRTAP10-4	0	0	0	1	0	0
ENSG00000215455.4|KRTAP10-1	0	0	2	0	0	0
ENSG00000215456.6|BCRL4	0	0	0	0	0	0
ENSG00000215457.5|RPS8P3	0	1	0	0	0	0
ENSG00000215458.8|AP001053.11	7	11	17	21	28	18
ENSG00000215464.4|AP000354.2	0	0	0	0	0	0
ENSG00000215467.2|RPL27AP	0	0	0	0	0	0
ENSG00000215472.10|RPL17-C18orf32	112.38	92.82	112.85	38.92	63.23	63.81
ENSG00000215474.7|SKOR2	0	0	0	0	0	0
ENSG00000215475.4|SIAH3	6	2	4	1	2	0
ENSG00000215477.2|RP11-393I2.1	0	0	0	0	0	0
ENSG00000215478.8|AP000344.1	0	0	0	0	0	0
ENSG00000215480.4|OR7E37P	0	0	0	0	0	0
ENSG00000215481.9|AP000356.8	11.16	13.86	6.34	26.28	44.79	22.85
ENSG00000215482.3|RP11-74J13.2	0	1	0	2	1	0
ENSG00000215483.10|RP11-350A18.1	1	1	1	7	30.01	26
ENSG00000215486.5|RP11-197L7.2	0	0	0	0	0	0
ENSG00000215492.6|HNRNPA1P7	190.5	198.14	186.27	95.86	152.32	106.96
ENSG00000215493.3|XXbac-B562F10.11	0	1	0	1	2	0
ENSG00000215498.9|FAM230B	0	0	0	0	0	0
ENSG00000215506.5|AC019099.1	0	0	0	0	0	0
ENSG00000215507.10|AC006991.1	0	0	0	0	0	0
ENSG00000215512.9|AP005901.1	0	0	0	0	0	3
ENSG00000215515.2|RP11-37E23.3	0	0	0	0	0	0
ENSG00000215520.3|RP11-401M16.3	0	0	0	0	0	0
ENSG00000215529.12|EFCAB8	3	1	0	5	8	5
ENSG00000215533.8|LINC00189	41	39	37.82	62	91	85
ENSG00000215537.3|AC006366.1	0	0	0	0	0	0
ENSG00000215540.10|AC009947.3	0	0	0	0	0	0
ENSG00000215544.6|AC008103.2	0	0	0	0	0	0
ENSG00000215545.1|DEFB116	0	0	0	0	0	0
ENSG00000215546.2|RP5-854E16.1	0	0	0	0	0	0
ENSG00000215547.1|DEFB115	0	0	0	0	0	0
ENSG00000215548.2|FRG1JP	1.01	0	1.01	0	2.06	1.01
ENSG00000215553.3|KRT18P3	0	0	0	0	0	0
ENSG00000215559.8|C21orf81	0	0	0	1	3	4
ENSG00000215560.2|TTTY5	0	0	0	0	0	0
ENSG00000215562.2|AL109748.6	0	0	0	0	0	0
ENSG00000215567.5|RP11-79C23.1	0	0	0	0	0	0
ENSG00000215568.8|GAB4	0	0	0	0	0	0
ENSG00000215571.5|RP11-463M3.1	1	1	1	1	0	0
ENSG00000215572.2|RP11-76K19.2	0	0	0	0	0	0
ENSG00000215580.10|BCORP1	0	0	0	0	0	0
ENSG00000215583.3|AC012502.1	0	0	0	0	0	0
ENSG00000215586.2|RP5-836E8.1	0	0	0	0	0	0
ENSG00000215589.3|RP5-967N21.2	0	0	0	0	0	0
ENSG00000215595.1|C20orf202	0	0	0	0	2	0
ENSG00000215601.3|AC051663.3	0	0	0	0	0	0
ENSG00000215603.4|AC007275.3	0	0	0	0	0	0
ENSG00000215604.3|RP11-77P19.1	0	0	0	0	0	0
ENSG00000215606.4|RP11-438D8.3	0	0	0	0	0	0
ENSG00000215612.7|HMX1	0	0	0	0	0	0
ENSG00000215630.6|RP11-1280N14.4	99.01	119.97	90.31	89.08	118.68	97.24
ENSG00000215644.9|GCGR	0	0	0	0	3	1
ENSG00000215692.2|AC114730.8	1	0	1	1	2	1
ENSG00000215695.1|RSC1A1	130.68	109.59	82.88	41.38	93.04	87.92
ENSG00000215704.9|CELA2B	0	0	0	0	0	1
ENSG00000215712.10|TMEM242	367	380	341	370	413	346
ENSG00000215717.5|TMEM167B	626	749	605	858	1052	1004
ENSG00000215720.4|RP1-21O18.3	0	0	0	0	0	0
ENSG00000215734.3|MRPL20P1	0	0	0	0	0	0
ENSG00000215760.2|RP11-106M7.2	0	0	0	0	0	0
ENSG00000215765.3|CTB-61M7.1	0	0	0	0	0	0
ENSG00000215769.8|RP13-104F24.2	77.22	79.88	85.26	445.22	569.27	522.66
ENSG00000215771.2|RP1-85F18.4	0	0	0	0	0	0
ENSG00000215784.5|FAM72D	404.82	418.39	317.52	51.96	31.03	25.72
ENSG00000215785.2|CFLP6	2	1	0	0	1	2
ENSG00000215788.9|TNFRSF25	73	93	109	996	1354	1220
ENSG00000215790.7|SLC35E2	622.87	682.37	561.71	1414.5	1880.86	1643.23
ENSG00000215795.2|RP11-488L18.3	1	0	5	4	6	3
ENSG00000215796.3|RP11-551G24.2	0	1	0	0	0	0
ENSG00000215800.2|RP11-377O11.1	0	0	0	0	0	0
ENSG00000215802.3|RP11-80B9.5	0	0	0	0	0	0
ENSG00000215805.3|RP11-438O11.1	0	0	0	0	0	0
ENSG00000215807.4|RP11-506B6.2	0	0	0	0	0	0
ENSG00000215808.2|RP11-371I1.2	20	33	31	98	132	118
ENSG00000215811.6|RP5-915N17.9	0	0	0	0	0	0
ENSG00000215812.5|RP5-870F10.1	0	0	0	0	0	1
ENSG00000215817.5|ZC3H11B	16.74	11.6	17.65	10.28	34.89	20.03
ENSG00000215819.3|RP11-365D23.3	0	0	0	0	0	0
ENSG00000215833.3|RP5-968D22.2	0	0	1	0	0	0
ENSG00000215834.10|FMO9P	0	0	0	0	0	0
ENSG00000215835.2|RP11-9L18.2	8.02	5.01	6.01	3.01	7.01	3.01
ENSG00000215837.7|SDHAP2	75.31	82.88	110.46	91.94	97.44	107.03
ENSG00000215838.4|RP11-466F5.6	0	0	0	0	1	0
ENSG00000215840.3|RP11-122G18.7	0	0	1	2	3	1
ENSG00000215841.3|RP11-800A3.2	0	0	0	0	0	0
ENSG00000215845.10|TSTD1	4	1	0	3	2	0
ENSG00000215846.6|RP11-550P17.1	0	0	0	0	0	0
ENSG00000215853.3|RPTN	0	0	0	0	1	0
ENSG00000215859.9|PDZK1P1	1.14	0	0	0	0	3.84
ENSG00000215861.5|WI2-1896O14.1	118.3	117.23	100.27	87.21	75.23	103.9
ENSG00000215864.5|RP5-1042I8.2	0	0	0	0	0	0
ENSG00000215866.7|RP11-426L16.8	2	0	0	0	0	0
ENSG00000215867.4|RP4-773A18.2	0	0	0	0	0	0
ENSG00000215869.4|RP11-364B6.2	0	2	0	0	0	1
ENSG00000215871.2|RP5-837M10.1	0	0	0	0	0	0
ENSG00000215873.2|RP11-539G11.2	0	0	0	0	0	0
ENSG00000215874.3|RP4-644F6.2	0	0	0	0	0	0
ENSG00000215875.4|RP11-100D1.1	0	0	0	0	0	0
ENSG00000215878.3|RP3-422G23.2	0	0	0	0	0	0
ENSG00000215881.3|RP11-65D24.1	0	0	0	0	0	0
ENSG00000215883.10|CYB5RL	619.04	635	564.76	494.81	573.89	513.13
ENSG00000215887.5|RP5-1092E23.1	0	0	0	0	0	0
ENSG00000215893.3|RP4-635E8.1	0	0	0	0	0	0
ENSG00000215895.4|RP11-334L9.1	2.01	3	0	2	0	0
ENSG00000215899.3|RP11-439L8.2	0	1.26	0	0	0	1
ENSG00000215900.4|SEPW1P	0	0	0	0	0	0
ENSG00000215905.4|RP11-4M23.7	0	0	0	0	0	0
ENSG00000215906.8|LACTBL1	0	0	0	0	0	0
ENSG00000215908.10|CROCCP2	1065.43	1166.13	1110.58	834.75	1175.11	1058.74
ENSG00000215909.3|RP4-597A16.3	0	0	0	0	0	0
ENSG00000215910.7|C1orf167	0	0	0	0	1	0
ENSG00000215912.12|TTC34	13	20	19	20	32	24.02
ENSG00000215914.4|MMP23A	1.06	0	0	22.7	39.73	20.75
ENSG00000215915.9|ATAD3C	1.02	7.14	3.05	20.04	28.46	22.31
ENSG00000215930.1|MIR942	0	0	0	0	0	0
ENSG00000215938.3|MIR190B	0	0	0	0	0	0
ENSG00000215939.3|MIR873	0	0	0	0	0	0
ENSG00000215943.1|MIR892A	0	0	0	0	0	0
ENSG00000215952.1|MIR921	0	0	0	0	0	0
ENSG00000215957.1|MIR300	0	0	0	0	0	0
ENSG00000215961.1|MIR297	0	0	0	0	0	0
ENSG00000215966.1|MIR876	0	0	0	0	0	0
ENSG00000215973.1|MIR933	0	0	0	0	0	0
ENSG00000215991.1|MIR208B	0	0	0	0	0	0
ENSG00000216001.3|MIR450B	0	0	0	0	0	0
ENSG00000216005.1|MIR888	0	0	0	0	0	0
ENSG00000216009.3|MIR874	0	0	0	0	0	0
ENSG00000216031.1|MIR298	0	0	0	0	0	0
ENSG00000216035.1|MIR938	0	0	0	0	0	0
ENSG00000216056.1|MIR891A	0	0	0	0	0	0
ENSG00000216058.1|MIR944	0	0	0	0	0	0
ENSG00000216060.1|MIR934	0	0	0	0	0	0
ENSG00000216064.1|MIR891B	0	0	0	0	0	0
ENSG00000216069.1|MIR875	0	0	0	0	0	0
ENSG00000216075.1|MIR890	0	0	0	0	0	0
ENSG00000216077.3|MIR887	0	0	0	0	0	0
ENSG00000216098.1|MIR892B	0	0	0	0	0	0
ENSG00000216099.3|MIR889	0	0	0	0	0	0
ENSG00000216101.3|MIR877	0	0	0	0	0	0
ENSG00000216135.3|MIR885	0	0	0	0	0	0
ENSG00000216141.3|MIR941-2	0	0	0	0	0	0
ENSG00000216171.1|MIR513C	0	0	0	0	0	0
ENSG00000216179.1|MIR541	0	0	0	0	0	0
ENSG00000216191.1|MIR8485	0	0	0	0	0	0
ENSG00000216192.1|MIR920	0	0	0	0	0	0
ENSG00000216195.3|MIR941-4	0	0	0	0	0	0
ENSG00000216265.1|RP1-111D6.1	0	0	0	0	0	0
ENSG00000216285.5|RP11-490H24.5	13.63	18.27	8.94	11.62	10.87	11.9
ENSG00000216306.3|RP11-3K15.1	0	0	0	1	0	2
ENSG00000216307.2|RP3-400B16.2	0	0	0	0	0	0
ENSG00000216316.1|RP3-354N19.3	0	0	0	0	0	0
ENSG00000216324.1|RP3-382I10.2	0	0	0	0	0	0
ENSG00000216331.2|HIST1H1PS1	0	0	2	0	1	2
ENSG00000216347.1|RP3-334F4.2	0	0	0	0	0	0
ENSG00000216352.1|RP11-486E2.1	0	0	0	0	0	0
ENSG00000216359.1|RP11-360O19.1	0	0	0	0	0	1
ENSG00000216360.1|RP1-182O16.2	0	0	0	0	0	0
ENSG00000216364.1|RP1-13D10.4	0	0	0	0	0	0
ENSG00000216365.2|RPL37P15	0	0	0	0	0	0
ENSG00000216368.2|RP3-486D24.1	0	0	1	3	1	0
ENSG00000216378.1|RP3-344J20.1	0	0	0	0	0	0
ENSG00000216412.4|RPL12P2	0	0	0	0	0	0
ENSG00000216425.4|AC004066.2	0	0	0	0	0	0
ENSG00000216436.2|HIST1H2APS1	0	0	0	0	0	0
ENSG00000216439.1|RP11-30P6.4	0	0	0	0	0	0
ENSG00000216444.1|RP11-472G23.6	0	0	0	0	0	0
ENSG00000216471.3|RP11-112L15.3	0	0	0	0	0	0
ENSG00000216475.1|RP1-91J24.1	0	0	0	0	0	0
ENSG00000216480.2|RP3-393E18.1	1	0	0	0	0	0
ENSG00000216490.3|IFI30	85.7	142.46	89.11	204.1	296.1	226.21
ENSG00000216516.1|RP11-317M22.1	0	0	0	0	0	0
ENSG00000216518.1|RP3-417O22.1	0	0	0	0	0	0
ENSG00000216519.2|RP3-406A7.1	0	0	0	0	0	0
ENSG00000216523.1|RP3-435K13.1	0	0	0	0	0	0
ENSG00000216548.2|RP11-471B18.1	0	0	0	0	0	0
ENSG00000216560.4|RP3-368B9.1	0	0	0	0	0	0
ENSG00000216588.8|IGSF23	0	0	0	2	1	1
ENSG00000216613.2|RP3-406A7.5	0	0	0	0	0	0
ENSG00000216616.1|RP11-550C4.4	0	0	0	0	0	0
ENSG00000216621.8|RP11-244K5.6	0	0	0	0	0	0
ENSG00000216624.3|GAPDHP72	4	6	5	2	2	3
ENSG00000216629.1|OR2W4P	0	0	0	0	0	0
ENSG00000216636.1|RP3-391O22.2	0	0	0	0	0	0
ENSG00000216639.1|RP3-355L5.3	0	0	0	0	0	0
ENSG00000216642.1|RP1-95L4.3	0	0	0	0	0	0
ENSG00000216649.3|GAGE12E	0	0	0	0	0	0
ENSG00000216657.1|RP3-406P24.1	2	1	3	0	2	2
ENSG00000216663.3|RP11-506B6.5	0	0	0	0	0	0
ENSG00000216671.6|CTD-2144E22.12	0	0	0	0	0	0
ENSG00000216676.2|RP1-15D7.1	0	0	0	0	0	0
ENSG00000216687.2|RP11-278J20.2	0	0	0	0	0	0
ENSG00000216708.1|RP1-53C18.2	0	0	0	0	0	0
ENSG00000216710.1|COX6A1P3	0	0	0	0	0	0
ENSG00000216713.1|RP11-331O9.7	0	0	0	0	0	0
ENSG00000216718.7|RP3-522P13.1	0	0	0	0	0	0
ENSG00000216721.3|AC093850.1	0	0	0	0	0	0
ENSG00000216723.1|RP11-446G24.4	0	0	0	0	0	0
ENSG00000216740.2|ANXA2P3	0	1	1	0	0	0
ENSG00000216753.3|CTA-444M12.2	0	0	0	0	0	0
ENSG00000216754.2|RP1-190J20.2	0	0	0	0	0	0
ENSG00000216762.1|VN1R13P	0	0	0	0	0	0
ENSG00000216775.3|RP1-152L7.5	1448	1622	1402	1267	1596	1362
ENSG00000216777.1|AC019058.1	0	0	0	0	0	0
ENSG00000216781.2|RP1-290I10.2	0	0	0	0	0	0
ENSG00000216802.1|RP11-390P2.2	1	0	0	0	0	0
ENSG00000216809.1|RP11-57K17.1	4	2	2	4	2	8
ENSG00000216811.2|RP1-69B13.2	0	0	0	0	0	0
ENSG00000216813.1|RP11-812I20.2	0	0	0	0	0	0
ENSG00000216817.1|RP1-244F1.2	0	0	0	0	0	0
ENSG00000216819.1|TUBB2BP1	6.46	2.17	1.08	2.17	0	1.1
ENSG00000216824.2|AC025731.7	0	0	0	0	0	0
ENSG00000216829.6|RP11-175I6.1	5.1	4.9	0	0	0	0
ENSG00000216835.3|RBMXP1	0	0	0	0	0	0
ENSG00000216844.1|AC009494.3	0	0	0	0	0	0
ENSG00000216853.1|RP3-399J4.1	0	0	0	0	0	0
ENSG00000216854.2|RPL17P26	0	1	0	0	0	0
ENSG00000216859.1|RP11-448N11.1	0	0	0	0	0	0
ENSG00000216863.9|RP3-398D13.3	0	0	0	0	0	0
ENSG00000216866.5|RP11-185O17.3	19.32	20.11	9.79	19.56	23.97	20.75
ENSG00000216867.2|AC114776.1	1	0	0	0	0	0
ENSG00000216895.9|AC009403.2	47	42.97	58.99	37.98	53.99	44.99
ENSG00000216901.1|AL022393.7	0	0	0	0	1	0
ENSG00000216902.3|RP1-161C16.1	0	0	0	1	0	0
ENSG00000216904.2|RP1-236J16.1	0	0	0	0	0	0
ENSG00000216906.2|RP11-350J20.9	1	0	0	2	0	5
ENSG00000216913.2|RP4-753D5.3	0	0	0	0	0	0
ENSG00000216915.2|RP1-97D16.1	0	0	0	0	0	0
ENSG00000216917.2|RP5-988G15.1	0	0	0	0	0	0
ENSG00000216921.8|AC131097.4	0	0	0	0	0	0
ENSG00000216937.13|CCDC7	35	26	24	27	32	29
ENSG00000216938.3|GS1-541M1.1	0	0	0	0	0	0
ENSG00000216966.1|RP11-568A7.1	0	0	0	0	0	0
ENSG00000216977.1|RP11-294H11.4	0	0	0	0	2	1
ENSG00000216990.2|RP1-102H19.1	0	0	0	0	1	0
ENSG00000216998.1|CYP2AC1P	0	0	0	0	0	0
ENSG00000217004.1|RP3-329A5.1	0	0	0	0	0	0
ENSG00000217026.3|RPL10P1	0	0	0	0	0	0
ENSG00000217027.1|RP1-83M4.2	0	0	0	3.22	2	2
ENSG00000217030.1|RP11-428J1.2	0	0	0	0	0	0
ENSG00000217041.1|RP11-346C16.1	0	0	0	0	0	0
ENSG00000217044.1|RP11-331O9.4	0	0	0	0	0	0
ENSG00000217060.1|RP11-30P6.1	1	2	0	0	0	0
ENSG00000217067.2|RP11-448N11.2	0	0	0	0	0	0
ENSG00000217078.1|RP1-13D10.3	0	0	0	0	0	0
ENSG00000217083.1|RP1-245M18.2	0	0	0	0	0	0
ENSG00000217085.2|RP3-527B10.1	0	0	0	0	0	0
ENSG00000217089.1|RP11-536L15.1	0	0	0	0	0	0
ENSG00000217094.2|RP11-460H18.1	10.21	8.37	11.01	5	7.17	6.01
ENSG00000217120.1|RP1-76C18.1	0	0	0	0	0	0
ENSG00000217128.11|FNIP1	685	675	631	1264	1414	1319
ENSG00000217130.1|RP3-375P9.2	1	1	0	0	2	0
ENSG00000217135.2|RP1-140K8.3	0	0	0	0	0	0
ENSG00000217139.2|RP11-129H15.4	0	0	0	0	0	0
ENSG00000217159.2|RP1-221C16.7	0	0	0	0	0	0
ENSG00000217160.2|RP11-331O9.1	0	0	0	0	0	0
ENSG00000217165.1|RP1-202I21.5	0	0	0	0	0	0
ENSG00000217169.2|RP11-76H14.4	0	0	0	0	0	0
ENSG00000217178.1|RP11-9G10.1	0	0	0	0	0	0
ENSG00000217179.1|AC009235.2	0	0	0	0	0	0
ENSG00000217181.1|RP11-360O19.5	0	0	1	0	0	0
ENSG00000217195.1|RP11-277I20.2	0	0	0	0	0	0
ENSG00000217227.1|RP1-319M7.2	0	0	0	0	0	0
ENSG00000217228.1|RP1-152L7.1	0	0	0	0	0	0
ENSG00000217231.2|RP3-340H11.2	0	0	0	0	0	0
ENSG00000217236.1|SP9	3	1	1	1	6	16
ENSG00000217239.3|RP1-182O16.1	0	1	0	0	1	0
ENSG00000217241.1|RP1-93H18.3	4.01	6	3.01	0	7	0
ENSG00000217258.2|AC007249.3	3	0	2	0	0	0
ENSG00000217261.4|POM121L4P	0	0	0	0	0	0
ENSG00000217268.1|RP11-374N7.1	0	0	0	0	0	0
ENSG00000217272.1|RP1-263J7.2	0	0	0	0	0	0
ENSG00000217275.2|RP1-34B20.4	0	1	0	0	1	1
ENSG00000217289.3|AC018865.5	0	3	0	0	2.12	0
ENSG00000217314.2|RP1-228J4.1	0	0	0	0	0	0
ENSG00000217315.1|OR2W2P	0	0	0	0	0	0
ENSG00000217325.2|RP11-753G20.1	3.32	3.03	5.01	0	4.43	3.01
ENSG00000217327.3|RP11-35L17.4	0	0	0	0	0	0
ENSG00000217330.1|RP3-509L4.1	0	0	0	0	0	0
ENSG00000217331.1|RP11-304C16.3	0	0	0	0	0	0
ENSG00000217334.1|RP11-33E24.3	0	0	0	0	0	0
ENSG00000217372.2|RP3-468K3.1	0	0	0	0	0	0
ENSG00000217377.1|AK4P5	0	0	0	0	0	0
ENSG00000217379.2|RP11-254A17.1	0	0	0	0	0	0
ENSG00000217385.1|RP11-620A17.1	0	0	0	0	0	0
ENSG00000217404.2|RP1-179E13.1	0	0	0	0	0	0
ENSG00000217408.2|RP3-501N12.3	0	0	0	0	0	0
ENSG00000217414.2|RP11-528A10.2	0	0	0	0	0	0
ENSG00000217416.4|AC025477.1	1.05	0	2.13	1	3.06	0
ENSG00000217442.3|SYCE3	0	0	0	0	1	0
ENSG00000217447.1|RP3-366N23.4	0	0	0	0	0	0
ENSG00000217455.8|AC091801.1	1	2	0	3	1	2
ENSG00000217477.2|RP11-184C23.1	0	0	0	0	0	0
ENSG00000217482.2|RP1-38C16.3	0	0	0	0	0	0
ENSG00000217483.1|RP11-135M8__A.1	0	0	0	0	0	0
ENSG00000217488.2|RP11-474L11.5	0	0	0	0	0	0
ENSG00000217495.2|RP1-95L4.2	0	0	0	0	0	0
ENSG00000217512.1|RP11-477E3.2	0	0	1	0	0	1
ENSG00000217514.1|RP3-495O10.1	0	0	0	0	0	0
ENSG00000217527.1|RPS16P5	0	0	0	0	0	0
ENSG00000217539.2|RP1-313I6.1	0	0	0	0	0	0
ENSG00000217555.12|CKLF	164.76	174.27	171.5	144.8	208.81	133.98
ENSG00000217557.1|RP11-157L10.1	0	0	0	0	0	0
ENSG00000217566.2|RP1-140K8.4	0	0	0	0	0	0
ENSG00000217576.7|RP11-248G5.8	0	0	0	0	0	0
ENSG00000217585.1|RP1-13D10.5	0	0	0	0	0	0
ENSG00000217612.2|RP1-28C20.1	0	2	0	0	0	0
ENSG00000217624.2|RP11-204C16.4	3.03	1.01	3.05	2.05	6.08	2.03
ENSG00000217631.1|RP1-142O9.2	0	0	0	0	0	0
ENSG00000217643.1|AC064847.2	0	0	0	0	0	0
ENSG00000217644.5|RP4-803A2.1	0	0	0	0	0	0
ENSG00000217646.1|HIST1H2BPS2	0	0	0	1	2	0
ENSG00000217648.1|RP1-95L4.4	3	3	2	7	10	12
ENSG00000217653.1|RP11-63K6.1	0	0	0	0	0	0
ENSG00000217680.1|RP11-415D17.1	0	0	0	0	0	0
ENSG00000217684.2|RP11-65C6.1	0	0	0	0	0	0
ENSG00000217686.2|RP11-295B17.2	0	0	0	0	0	0
ENSG00000217702.2|RP11-287D1.4	0	0	0	0	0	2
ENSG00000217707.2|RP1-40E16.4	0	0	0	0	0	0
ENSG00000217716.3|RPS10P3	2.1	0	0	0	0	2.08
ENSG00000217718.1|AC064847.4	0	0	0	0	0	0
ENSG00000217733.2|RP11-350J20.6	0	0	0	1	1	0
ENSG00000217746.1|RP1-303A1.1	0	0	0	0	0	0
ENSG00000217767.2|RP11-160A9.2	0	0	0	0	0	0
ENSG00000217769.4|RP11-76H14.2	1	0.65	0	0.65	0	0
ENSG00000217770.1|RP11-506B6.1	0	0	0	0	0	0
